Player,Rk,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Player-additional
Adley Rutschman#,1.0,27.0,C,1.9,90,365,322,37,71,16,2,9,29,0,0,40,57,0.22,0.307,0.366,0.673,90.0,0.297,89.0,118,8,1,0,2,0,2D/H,,rutscad01
Coby Mayo,2.0,23.0,1B,0.2,85,294,263,30,57,12,0,11,28,3,0,27,84,0.217,0.299,0.388,0.687,93.0,0.303,92.0,102,2,4,0,0,0,3/DH5,,mayoco01
Jackson Holliday*,3.0,21.0,2B,1.0,149,649,586,70,142,21,3,17,55,17,11,56,140,0.242,0.314,0.375,0.69,95.0,0.305,97.0,220,4,6,0,1,1,*4/6DH,,hollija01
Gunnar Henderson*,4.0,24.0,SS,5.3,154,651,577,85,158,34,5,17,68,30,5,62,137,0.274,0.349,0.438,0.787,121.0,0.349,122.0,253,7,7,0,5,6,*6/DH,,hendegu01
Ramón Urías,5.0,31.0,3B,1.5,77,290,258,27,64,12,0,8,34,2,0,21,60,0.248,0.3,0.388,0.688,93.0,0.301,91.0,100,5,2,0,9,0,5/H3D4,,uriasra01
Dylan Carlson#,6.0,26.0,LF,-0.7,83,241,217,17,44,9,1,6,20,3,3,21,54,0.203,0.278,0.336,0.614,73.0,0.274,75.0,73,3,2,0,1,0,798H,,carlsdy01
Cedric Mullins*,7.0,30.0,CF,0.0,91,355,314,42,72,19,0,15,49,14,4,34,85,0.229,0.305,0.433,0.738,106.0,0.32,103.0,136,2,2,1,4,0,8/DH,,mullice01
Ramón Laureano,8.0,30.0,RF,3.0,82,290,259,45,75,17,0,15,46,4,3,22,72,0.29,0.355,0.529,0.884,146.0,0.373,146.0,137,6,6,0,3,1,97/DH8,,laurera01
Ryan Mountcastle,9.0,28.0,DH,0.1,89,357,332,34,83,18,0,7,35,3,0,15,98,0.25,0.286,0.367,0.653,83.0,0.302,91.0,122,10,4,0,6,0,3D/H,,mountry01
Ryan O'Hearn*,10.0,31.0,1B,2.0,94,361,311,45,88,15,1,13,43,3,1,42,63,0.283,0.374,0.463,0.837,136.0,0.362,136.0,144,10,5,0,3,3,3D9/H7,AS,ohearry01
Colton Cowser*,11.0,25.0,OF,1.0,92,360,327,36,64,14,0,16,40,14,0,27,128,0.196,0.269,0.385,0.655,83.0,0.292,79.0,126,5,6,0,0,1,87/9HD,,cowseco01
Jordan Westburg,12.0,26.0,IF,1.6,85,352,328,59,87,10,1,17,41,1,2,17,80,0.265,0.313,0.457,0.77,114.0,0.334,118.0,150,5,6,0,1,0,54D/H,,westbjo01
Tyler O'Neill,13.0,30.0,RF,-0.6,54,209,181,22,36,6,1,9,26,4,0,22,51,0.199,0.292,0.392,0.684,92.0,0.302,90.0,71,2,3,0,3,1,9D/7H,,oneilty01
Jeremiah Jackson,14.0,25.0,RF,0.4,48,183,170,20,47,10,2,5,21,0,2,11,50,0.276,0.328,0.447,0.775,117.0,0.329,116.0,76,6,2,0,0,0,95/HD4,,jacksje02
Heston Kjerstad*,15.0,26.0,OF,-1.6,54,167,156,16,30,5,2,4,19,1,0,6,45,0.192,0.24,0.327,0.566,58.0,0.253,56.0,51,9,4,0,1,0,79/HD,,kjershe01
Dylan Beavers*,16.0,23.0,OF,1.0,35,137,110,16,25,5,1,4,14,2,2,26,36,0.227,0.375,0.4,0.775,120.0,0.346,128.0,44,0,0,1,0,0,79/H,,beavedy01
Emmanuel Rivera,17.0,29.0,3B,0.1,42,127,120,5,30,4,0,0,13,1,0,6,24,0.25,0.291,0.283,0.575,64.0,0.267,66.0,34,3,1,0,0,0,5/3HD1,,riverem01
Samuel Basallo*,18.0,20.0,C,-0.2,31,118,109,10,18,6,0,4,15,0,0,6,30,0.165,0.229,0.33,0.559,56.0,0.245,51.0,36,4,3,0,0,0,2/D3H,,basalsa01
Gary Sánchez,19.0,32.0,C,-0.4,29,101,91,13,21,2,0,5,24,0,0,4,27,0.231,0.297,0.418,0.715,100.0,0.308,97.0,38,2,5,0,1,0,2/D1H,,sanchga02
Alex Jackson,20.0,29.0,C,0.7,36,100,91,17,20,8,0,5,8,0,0,5,37,0.22,0.29,0.473,0.763,111.0,0.323,108.0,43,2,4,0,0,0,2/H1D,,jacksal02
Jorge Mateo,21.0,30.0,UT,-0.6,42,83,79,9,14,4,0,1,3,15,2,4,30,0.177,0.217,0.266,0.483,36.0,0.243,28.0,21,1,0,0,0,0,H68/4D517,,mateojo01
Luis Vázquez,22.0,25.0,IF,-0.5,32,53,50,6,8,1,0,1,3,2,0,3,14,0.16,0.208,0.24,0.448,27.0,0.206,17.0,12,0,0,0,0,0,56/H143D,,vazqulu01
Maverick Handley,23.0,27.0,C,-0.9,16,47,41,2,3,0,0,0,3,0,0,2,18,0.073,0.133,0.073,0.207,-39.0,0.103,-59.0,3,0,1,2,1,0,2/H,,handlma01
Jacob Stallings,24.0,35.0,C,-0.4,14,36,35,1,4,1,0,0,3,0,0,1,9,0.114,0.139,0.143,0.282,-20.0,0.152,-16.0,5,4,0,0,0,0,2/H,,stallja01
Daniel Johnson*,25.0,29.0,OF,0.1,17,26,24,8,5,1,0,0,0,1,1,2,5,0.208,0.269,0.25,0.519,49.0,0.255,66.0,6,0,0,0,0,0,/H798,,johnsda07
Chadwick Tromp,26.0,30.0,C,0.1,6,16,16,2,3,1,0,1,1,0,0,0,4,0.188,0.188,0.438,0.625,69.0,0.315,102.0,7,0,0,0,0,0,/2,,trompch01
