Team,Season,OPS_plus,TB,WAR,WL_Pct,RS,RD
Arizona Diamondbacks,2021,87,2099,9.4,0.321,679,-214
Atlanta Braves,2021,98,2333,21.1,0.547,790,134
Baltimore Orioles,2021,92,2177,9.8,0.321,659,-297
Boston Red Sox,2021,106,2467,24.4,0.568,829,80
Chicago Cubs,2021,93,2162,18.3,0.438,705,-134
Chicago White Sox,2021,106,2262,23.5,0.574,796,160
Cincinnati Reds,2021,95,2339,12.0,0.512,786,26
Cleveland Guardians,2021,94,2170,16.2,0.494,717,-10
Colorado Rockies,2021,86,2227,20.3,0.46,739,-57
Detroit Tigers,2021,96,2146,9.5,0.475,697,-59
Houston Astros,2021,113,2486,35.5,0.586,863,205
Kansas City Royals,2021,90,2147,16.0,0.457,686,-102
Los Angeles Angels,2021,93,2212,6.7,0.475,723,-81
Los Angeles Dodgers,2021,101,2336,23.8,0.654,830,269
Miami Marlins,2021,81,1990,10.3,0.414,623,-78
Milwaukee Brewers,2021,92,2124,20.7,0.586,738,115
Minnesota Twins,2021,103,2300,23.3,0.451,729,-105
New York Mets,2021,93,2035,16.9,0.475,636,-32
New York Yankees,2021,100,2169,13.7,0.568,711,42
Oakland Athletics,2021,102,2190,23.1,0.531,743,56
Philadelphia Phillies,2021,95,2192,14.9,0.506,734,-11
Pittsburgh Pirates,2021,82,1943,7.1,0.377,609,-224
San Diego Padres,2021,101,2160,26.8,0.488,729,21
San Francisco Giants,2021,107,2404,28.7,0.66,804,210
Seattle Mariners,2021,92,2061,13.1,0.556,697,-51
St. Louis Cardinals,2021,99,2202,32.5,0.556,706,34
Tampa Bay Rays,2021,110,2362,36.5,0.617,857,206
Texas Rangers,2021,83,2028,15.7,0.37,625,-190
Toronto Blue Jays,2021,113,2552,31.1,0.562,846,183
Washington Nationals,2021,107,2246,27.4,0.401,724,-96
Arizona Diamondbacks,2022,95,2061,21.4,0.457,702,-38
Atlanta Braves,2022,109,2443,26.3,0.623,789,180
Baltimore Orioles,2022,99,2119,24.2,0.512,674,-14
Boston Red Sox,2022,102,2268,15.7,0.481,735,-52
Chicago Cubs,2022,94,2097,15.0,0.457,657,-74
Chicago White Sox,2022,97,2172,12.6,0.5,686,-31
Cincinnati Reds,2022,85,2003,3.8,0.383,648,-167
Cleveland Guardians,2022,102,2126,28.3,0.568,698,64
Colorado Rockies,2022,91,2203,15.2,0.42,698,-175
Detroit Tigers,2022,82,1859,5.4,0.407,557,-156
Houston Astros,2022,111,2293,30.8,0.654,737,219
Kansas City Royals,2022,93,2064,11.7,0.401,640,-170
Los Angeles Angels,2022,93,2116,11.7,0.451,623,-45
Los Angeles Dodgers,2022,115,2441,35.7,0.685,847,334
Miami Marlins,2022,85,1961,9.7,0.426,586,-90
Milwaukee Brewers,2022,103,2213,23.9,0.531,725,37
Minnesota Twins,2022,105,2195,24.0,0.481,696,12
New York Mets,2022,113,2261,27.0,0.623,772,166
New York Yankees,2022,112,2311,35.6,0.611,807,240
Oakland Athletics,2022,84,1837,4.4,0.37,568,-202
Philadelphia Phillies,2022,108,2320,21.3,0.537,747,62
Pittsburgh Pirates,2022,85,1939,7.0,0.383,591,-226
San Diego Padres,2022,102,2087,25.7,0.549,705,45
San Francisco Giants,2022,100,2101,11.2,0.5,716,19
Seattle Mariners,2022,106,2094,24.5,0.556,690,67
St. Louis Cardinals,2022,112,2309,36.1,0.574,772,135
Tampa Bay Rays,2022,99,2041,20.7,0.531,666,52
Texas Rangers,2022,96,2166,17.2,0.42,707,-36
Toronto Blue Jays,2022,117,2395,32.2,0.568,775,96
Washington Nationals,2022,98,2051,12.3,0.34,603,-252
Arizona Diamondbacks,2023,98,2219,23.0,0.519,746,-15
Atlanta Braves,2023,126,2803,41.0,0.642,947,231
Baltimore Orioles,2023,107,2313,28.0,0.623,807,129
Boston Red Sox,2023,100,2360,19.1,0.481,772,-4
Chicago Cubs,2023,106,2316,28.1,0.512,819,96
Chicago White Sox,2023,84,2111,2.0,0.377,641,-200
Cincinnati Reds,2023,98,2307,14.7,0.506,783,-38
Cleveland Guardians,2023,91,2103,14.6,0.469,662,-35
Colorado Rockies,2023,85,2224,7.9,0.364,721,-236
Detroit Tigers,2023,89,2090,9.8,0.481,661,-79
Houston Astros,2023,111,2431,31.5,0.556,827,129
Kansas City Royals,2023,90,2158,10.4,0.346,676,-183
Los Angeles Angels,2023,101,2339,16.6,0.451,739,-90
Los Angeles Dodgers,2023,114,2512,33.6,0.617,906,207
Miami Marlins,2023,90,2225,7.0,0.519,666,-57
Milwaukee Brewers,2023,92,2074,17.6,0.568,728,81
Minnesota Twins,2023,105,2347,25.0,0.537,778,119
New York Mets,2023,99,2184,16.0,0.463,717,-12
New York Yankees,2023,91,2115,8.8,0.506,673,-25
Oakland Athletics,2023,88,1967,2.7,0.309,585,-339
Philadelphia Phillies,2023,107,2426,23.2,0.556,796,81
Pittsburgh Pirates,2023,91,2119,9.3,0.469,692,-98
San Diego Padres,2023,104,2232,26.7,0.506,752,104
San Francisco Giants,2023,93,2075,9.7,0.488,674,-45
Seattle Mariners,2023,108,2269,26.5,0.543,758,99
St. Louis Cardinals,2023,101,2291,17.5,0.438,719,-110
Tampa Bay Rays,2023,114,2452,34.9,0.611,860,195
Texas Rangers,2023,116,2531,37.7,0.556,881,165
Toronto Blue Jays,2023,105,2317,29.7,0.549,746,75
Washington Nationals,2023,96,2185,18.1,0.438,700,-145
Arizona Diamondbacks,2024,114,2430,34.0,0.549,886,98
Atlanta Braves,2024,100,2275,19.8,0.549,704,97
Baltimore Orioles,2024,115,2424,31.8,0.562,786,87
Boston Red Sox,2024,108,2357,26.8,0.5,751,4
Chicago Cubs,2024,100,2139,24.0,0.512,736,67
Chicago White Sox,2024,76,1830,-6.7,0.253,507,-306
Cincinnati Reds,2024,88,2067,4.5,0.475,699,5
Cleveland Guardians,2024,99,2099,20.9,0.571,708,87
Colorado Rockies,2024,87,2183,10.7,0.377,682,-247
Detroit Tigers,2024,92,2097,16.2,0.531,682,40
Houston Astros,2024,110,2314,26.3,0.547,740,91
Kansas City Royals,2024,101,2187,20.3,0.531,735,91
Los Angeles Angels,2024,89,1979,11.6,0.389,635,-162
Los Angeles Dodgers,2024,120,2465,39.6,0.605,842,156
Miami Marlins,2024,87,2086,2.0,0.383,637,-204
